NAME,AGE,IS_DECEASED,PREDICTION
Willard Scott,89.0,False,0.787
Mark E. Smith,66.0,False,0.786
Volker Schlöndorff,84.0,False,0.786
Michael Caine,90.0,False,0.786
Kurt Wüthrich,85.0,False,0.786
Jim Turner,71.0,False,0.785
Paul Keating,79.0,False,0.784
Petr Ufimtsev,92.0,False,0.784
Jean-Bertrand Aristide,70.0,False,0.783
David Attenborough,97.0,False,0.783
Wolfgang Dauner,88.0,False,0.779
Roger S. Berlind,93.0,False,0.779
Gerhard Ertl,87.0,False,0.779
Robert Huber,86.0,False,0.779
Percy Adlon,88.0,False,0.779
Harald zur Hausen,87.0,False,0.779
Bert Hölldobler,87.0,False,0.779
Peter Brötzmann,82.0,False,0.778
Wolfgang Petersen,82.0,False,0.778
Christoph Eschenbach,83.0,False,0.778
Fay Weldon,92.0,False,0.778
Eberhard Weber,83.0,False,0.778
Frank Farian,82.0,False,0.778
Michael Haneke,81.0,False,0.778
Werner Herzog,81.0,False,0.778
Klaus von Klitzing,80.0,False,0.778
Theodor W. Hänsch,82.0,False,0.778
Wim Wenders,78.0,False,0.778
Andy Biersack,33.0,False,0.778
Wolf Lepenies,82.0,False,0.778
Bert Sakmann,81.0,False,0.778
Erwin Neher,79.0,False,0.778
Joan Didion,89.0,False,0.777
Carlos Salinas,75.0,False,0.777
Vasco Rossi,71.0,False,0.777
Clive Barker,71.0,False,0.776
A. N. Wilson,73.0,False,0.776
Julian Barnes,77.0,False,0.776
Robert Holdstock,75.0,False,0.776
Ian McEwan,75.0,False,0.776
Graham Swift,74.0,False,0.776
Kevin Rudd,66.0,False,0.776
Philip Pullman,77.0,False,0.776
Peter F. Hamilton,63.0,False,0.775
Jonathan Coe,62.0,False,0.775
Johnny Isakson,79.0,False,0.775
Neal Asher,62.0,False,0.775
Will Self,62.0,False,0.775
David Lee Roth,69.0,False,0.774
Bernard Haitink,94.0,False,0.774
Uli Edel,76.0,False,0.774
Klaus Schulze,76.0,False,0.774
Florian Schneider,76.0,False,0.774
Ralf Hütter,77.0,False,0.774
David Caute,87.0,False,0.774
Krzysztof Zanussi,84.0,False,0.774
Gerd Binnig,76.0,False,0.774
Lech Walesa,80.0,False,0.774
Jaime King,44.0,False,0.773
Phil Collins,72.0,False,0.773
Saif al-Adel,63.0,False,0.773
Michael Kinsley,72.0,False,0.772
Alexander Kluge,91.0,False,0.771
Allan Ahlberg,85.0,False,0.769
Amy Lee,42.0,False,0.769
Noam Chomsky,95.0,False,0.768
Charles Coody,86.0,False,0.768
Andrea Bocelli,65.0,False,0.767
Asif Ali Zardari,68.0,False,0.766
Douglas Coupland,62.0,False,0.766
Bengt I. Samuelsson,89.0,False,0.766
David Bradley,81.0,False,0.766
Lars von Trier,67.0,False,0.765
Ralph Steadman,87.0,False,0.765
Peter Max,86.0,False,0.765
Jay Rockefeller,86.0,False,0.764
Ryan Adams,49.0,False,0.764
Bruce Vilanch,75.0,False,0.763
John Maxwell Coetzee,83.0,False,0.763
László Sólyom,81.0,False,0.763
Charlie Daniels,87.0,False,0.762
Terry McMillan,72.0,False,0.762
Barbara Taylor Bradford,90.0,False,0.762
Bryant Gumbel,75.0,False,0.762
Penelope Lively,90.0,False,0.762
Zhores I. Alferov,93.0,False,0.761
Jack McGee,74.0,False,0.761
Luis Alfredo Garavito,66.0,False,0.761
Klaus Schwab,85.0,False,0.76
Renzo Piano,86.0,False,0.76
Nick Jonas,31.0,False,0.76
Murray Waas,63.0,False,0.759
Marco Bellocchio,84.0,False,0.758
Iain Sinclair,80.0,False,0.758
Ruggero Deodato,84.0,False,0.758
Willie Nelson,90.0,False,0.758
Dario Argento,83.0,False,0.758
Duke Cunningham,82.0,False,0.758
David Horowitz,84.0,False,0.758
Edd Byrnes,90.0,False,0.757
Vladimir Kramnik,48.0,False,0.757
Jennifer Vanderbes,49.0,False,0.757
Bill Geist,78.0,False,0.756
Michael Anderson,103.0,False,0.756
Mike Huckabee,68.0,False,0.753
Sydney Brenner,96.0,False,0.752
K. Alex Müller,96.0,False,0.752
Alain Juppé,78.0,False,0.752
Raymond Hide,94.0,False,0.752
Mike Schmidt,74.0,False,0.751
Florence Welch,37.0,False,0.75
Roberto Benigni,71.0,False,0.75
George A. Akerlof,83.0,False,0.75
Nuno Bettencourt,57.0,False,0.75
Carlo Verdone,73.0,False,0.75
